country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,policy_milestone
Canada,North America,High,2015,35962236.0,1568025782105.0,661.08,601.55,2.89,26.97,422.04,382.19,101.1,137.94,0.437,4.08,63.841,20.866,79.134,184.37,13.44,36.3,110.4,3.6,
Canada,North America,High,2016,36353345.0,1583727974022.0,667.13,603.33,3.01,30.93,430.73,385.43,100.72,135.68,0.451,4.636,64.565,20.338,79.662,180.88,15.27,4.2,14.7,2.1,Pan-Canadian Framework on Clean Growth
Canada,North America,High,2017,36808498.0,1631871440185.0,669.35,607.11,3.31,31.51,440.56,394.59,100.6,128.19,0.495,4.708,65.819,19.151,80.849,172.06,15.67,10.0,1.9,2.3,
Canada,North America,High,2018,37294996.0,1677189073139.0,661.2,613.0,3.49,33.47,433.39,385.89,100.03,127.78,0.528,5.062,65.546,19.325,80.675,170.86,16.63,5.4,6.2,-1.6,
Canada,North America,High,2019,37782934.0,1708858221312.0,655.7,608.62,3.75,32.88,428.71,381.77,100.49,126.5,0.572,5.014,65.382,19.292,80.708,169.99,16.48,7.4,-1.8,-1.1,
Canada,North America,High,2020,38171903.0,1622144486274.0,655.89,598.25,4.07,35.76,436.79,386.55,97.51,121.59,0.621,5.452,66.595,18.538,81.462,161.69,17.92,8.5,8.8,1.9,
Canada,North America,High,2021,38454058.0,1703443269914.0,652.4,605.11,5.11,37.3,435.39,382.43,91.98,125.03,0.783,5.717,66.737,19.165,80.835,165.37,19.08,25.6,4.3,-0.3,
Canada,North America,High,2022,38821259.0,1761295624423.0,664.08,612.97,5.74,39.48,452.47,397.73,86.63,124.98,0.864,5.945,68.135,18.82,81.18,160.6,20.35,12.3,5.8,3.9,
Canada,North America,High,2023,39299098.0,,641.39,613.63,8.4,40.51,419.45,360.74,88.43,133.51,1.31,6.316,65.397,20.816,79.184,174.37,22.01,46.3,2.6,-7.3,
Canada,North America,High,2024,39742429.0,,636.79,624.36,9.42,46.83,409.28,343.2,85.47,142.04,1.479,7.354,64.272,22.306,77.694,185.35,25.31,12.1,15.6,-2.4,
Canada,North America,High,2025,40126728.0,,652.44,645.64,10.17,51.48,416.91,344.74,85.32,150.21,1.559,7.89,63.9,23.023,76.977,190.72,27.74,8.0,9.9,1.9,
